Date,Price,Open,High,Low,Vol.,Change %
12/05/2025,"6,870.40","6,866.32","6,895.78","6,858.29",,0.19%
12/04/2025,"6,857.12","6,866.47","6,866.47","6,827.12",,0.11%
12/03/2025,"6,849.72","6,815.29","6,862.42","6,810.43",,0.30%
12/02/2025,"6,829.37","6,830.96","6,851.55","6,806.71",,0.25%
12/01/2025,"6,812.63","6,812.30","6,843.65","6,799.94",,-0.53%
11/28/2025,"6,849.09","6,822.52","6,850.86","6,819.75",,0.54%
11/26/2025,"6,812.61","6,793.55","6,831.44","6,783.87",,0.69%
11/25/2025,"6,765.88","6,697.03","6,776.40","6,659.98",,0.91%
11/24/2025,"6,705.12","6,636.54","6,715.75","6,630.70",,1.55%
11/21/2025,"6,602.99","6,555.77","6,660.05","6,521.92",,0.98%
11/20/2025,"6,538.76","6,737.93","6,770.35","6,534.05",,-1.56%
11/19/2025,"6,642.16","6,625.84","6,689.75","6,603.50",,0.38%
11/18/2025,"6,617.32","6,641.19","6,666.63","6,574.32",,-0.83%
11/17/2025,"6,672.41","6,713.61","6,754.50","6,638.90",,-0.92%
11/14/2025,"6,734.11","6,672.14","6,774.31","6,646.87",,-0.05%
11/13/2025,"6,737.49","6,826.47","6,828.05","6,724.72",,-1.66%
11/12/2025,"6,850.92","6,867.77","6,869.91","6,829.62",,0.06%
11/11/2025,"6,846.61","6,815.64","6,855.13","6,806.87",,0.21%
11/10/2025,"6,832.43","6,785.36","6,841.32","6,770.56",,1.54%
11/07/2025,"6,728.80","6,696.18","6,730.11","6,631.44",,0.13%
11/06/2025,"6,720.32","6,787.59","6,796.68","6,707.51",,-1.12%
11/05/2025,"6,796.29","6,769.77","6,829.78","6,763.11",,0.37%
11/04/2025,"6,771.55","6,788.52","6,820.21","6,766.71",,-1.17%
11/03/2025,"6,851.97","6,882.32","6,882.32","6,820.62",,0.17%
10/31/2025,"6,840.20","6,879.17","6,879.17","6,814.26",,0.26%
10/30/2025,"6,822.34","6,860.50","6,880.75","6,820.69",,-0.99%
10/29/2025,"6,890.59","6,910.95","6,920.34","6,851.91",,0.00%
10/28/2025,"6,890.89","6,897.74","6,911.30","6,870.73",,0.23%
10/27/2025,"6,875.16","6,845.46","6,877.28","6,843.94",,1.23%
10/24/2025,"6,791.69","6,772.07","6,807.11","6,772.07",,0.79%
10/23/2025,"6,738.44","6,703.65","6,749.53","6,700.14",,0.58%
10/22/2025,"6,699.40","6,741.34","6,741.75","6,655.69",,-0.53%
10/21/2025,"6,735.35","6,736.75","6,752.16","6,722.03",,0.00%
10/20/2025,"6,735.13","6,690.05","6,744.35","6,690.05",,1.07%
10/17/2025,"6,664.01","6,613.27","6,678.88","6,603.76",,0.53%
10/16/2025,"6,629.07","6,689.02","6,709.34","6,593.99",,-0.63%
10/15/2025,"6,671.06","6,688.27","6,724.12","6,612.11",,0.40%
10/14/2025,"6,644.31","6,602.49","6,680.70","6,555.07",,-0.16%
10/13/2025,"6,654.72","6,622.53","6,668.68","6,620.71",,1.56%
10/10/2025,"6,552.51","6,740.49","6,762.40","6,550.78",,-2.71%
10/09/2025,"6,735.11","6,760.50","6,764.58","6,716.17",,-0.28%
10/08/2025,"6,753.72","6,723.87","6,755.64","6,718.09",,0.58%
10/07/2025,"6,714.59","6,746.14","6,754.49","6,699.96",,-0.38%
10/06/2025,"6,740.28","6,733.86","6,749.52","6,717.78",,0.36%
10/03/2025,"6,715.79","6,722.14","6,750.87","6,705.67",,0.01%
10/02/2025,"6,715.35","6,731.31","6,731.94","6,693.23",,0.06%
10/01/2025,"6,711.20","6,664.92","6,718.48","6,656.20",,0.34%
09/30/2025,"6,688.46","6,656.19","6,691.25","6,641.00",,0.41%
09/29/2025,"6,661.21","6,661.58","6,677.31","6,644.49",,0.26%
09/26/2025,"6,643.70","6,615.38","6,648.97","6,604.43",,0.59%
09/25/2025,"6,604.72","6,608.19","6,619.00","6,569.22",,-0.50%
09/24/2025,"6,637.97","6,669.79","6,672.66","6,621.76",,-0.28%
09/23/2025,"6,656.92","6,692.44","6,699.52","6,645.58",,-0.55%
09/22/2025,"6,693.75","6,654.28","6,698.88","6,648.07",,0.44%
09/19/2025,"6,664.36","6,647.11","6,671.82","6,630.31",,0.49%
09/18/2025,"6,631.96","6,626.85","6,656.80","6,611.89",,0.48%
09/17/2025,"6,600.35","6,604.87","6,624.39","6,551.15",,-0.10%
09/16/2025,"6,606.76","6,624.13","6,626.99","6,600.11",,-0.13%
