Date,Price,Open,High,Low,Vol.,Change %
11/20/2025,105.67,111,111.1,105.39,36.92M,-3.94%
11/19/2025,110,113,113.34,108.61,31.87M,-3.58%
11/18/2025,114.09,110.29,115.25,109.2,43.44M,3.45%
11/17/2025,110.29,110.75,111.85,109.55,26.08M,-0.83%
11/14/2025,111.22,114.27,114.27,110.72,47.61M,-3.64%
11/13/2025,115.42,115.85,116.73,114.57,40.14M,-0.28%
11/12/2025,115.75,113.82,116.43,112.83,39.22M,1.85%
11/11/2025,113.64,111.76,113.92,111.28,27.97M,1.46%
11/10/2025,112.01,110.67,112.82,110.4,36.93M,1.49%
11/07/2025,110.37,109.42,110.82,108.75,44.13M,0.61%
11/06/2025,109.7,109.46,110.37,108.51,36.53M,-0.13%
11/05/2025,109.85,108.5,110.08,107.34,35.54M,0.50%
11/04/2025,109.3,110,110.46,108.67,38.72M,-0.65%
11/03/2025,110.01,113.32,113.35,107.51,58.63M,-1.68%
10/31/2025,111.89,110.54,113.49,110.2,68.67M,2.74%
10/30/2025,108.9,109.44,110.62,108.81,41.58M,-1.04%
10/29/2025,110.04,109.98,110.86,109.6,33.99M,-0.19%
10/28/2025,110.25,109.4,111.7,109.3,40.21M,0.73%
10/27/2025,109.46,110.07,110.23,108.73,46.91M,-0.01%
10/24/2025,109.47,111.1,111.45,109.44,60.28M,-1.70%
10/23/2025,111.36,112.69,112.78,109.97,68.50M,-0.25%
10/22/2025,111.64,114.29,115.76,111.25,147.89M,-10.07%
10/21/2025,124.14,124.28,124.86,123.18,65.08M,0.23%
10/20/2025,123.86,120.79,124.78,120.69,39.86M,3.27%
10/17/2025,119.94,118.36,120.31,117.89,29.57M,1.33%
10/16/2025,118.36,121.21,121.67,117.6,28.33M,-1.64%
10/15/2025,120.33,121.3,121.96,120.16,20.25M,-0.99%
10/14/2025,121.54,121.47,122.43,120.31,23.62M,-0.30%
10/13/2025,121.9,122.14,123.11,120.68,24.61M,-0.09%
10/10/2025,122.01,122.9,124.7,121.91,42.80M,-0.89%
10/09/2025,123.11,121.43,123.75,121.18,28.24M,1.39%
10/08/2025,121.43,119.71,121.74,119.2,28.51M,1.95%
10/07/2025,119.11,117.78,120.14,117.75,33.09M,2.39%
10/06/2025,116.33,116.04,116.36,114.54,29.69M,0.87%
10/03/2025,115.33,116.5,116.8,114.32,31.37M,-0.79%
10/02/2025,116.25,116.15,116.33,113.4,46.85M,-0.71%
10/01/2025,117.09,117.55,117.91,116.32,41.10M,-2.34%
09/30/2025,119.89,120.64,120.85,117.8,38.30M,-0.62%
09/29/2025,120.64,120.5,122.45,118.75,30.33M,-0.35%
09/26/2025,121.06,120.54,121.4,120,19.45M,0.20%
09/25/2025,120.82,120.31,121.68,119.15,19.98M,0.36%
09/24/2025,120.39,121.86,122.15,119.42,27.73M,-1.19%
09/23/2025,121.85,122.73,122.78,120.85,24.99M,-0.73%
09/22/2025,122.74,122.19,122.98,121.42,25.47M,0.03%
09/19/2025,122.7,121.86,122.99,120.81,49.48M,1.59%
09/18/2025,120.78,122.08,123.3,120.55,31.69M,-1.69%
09/17/2025,122.85,122.1,123.39,120.66,34.60M,2.33%
09/16/2025,120.05,120.56,120.9,119.73,24.05M,-0.15%
09/15/2025,120.23,118.84,120.72,117.32,29.09M,1.16%
09/12/2025,118.84,120.31,121.18,118.24,37.85M,-1.25%
09/11/2025,120.35,125.1,125.34,119.2,56.82M,-3.54%
09/10/2025,124.77,126.4,126.7,124.64,27.01M,-1.23%
09/09/2025,126.32,124.67,126.57,124.67,22.20M,1.49%
09/08/2025,124.48,124.85,125.2,123.2,19.15M,0.08%
09/05/2025,124.38,126,126.71,123.9,23.80M,-1.09%
09/04/2025,125.75,122.32,125.75,122.31,30.24M,2.55%
09/03/2025,122.62,120.51,122.7,120.34,24.71M,0.99%
09/02/2025,121.41,119.7,121.54,118.28,23.03M,0.49%
08/29/2025,120.82,122.8,122.88,120.11,32.10M,-1.88%
08/28/2025,123.14,122.28,123.79,121.43,19.50M,0.65%
08/27/2025,122.35,122.36,122.92,121.3,16.65M,-0.21%
08/26/2025,122.61,122.02,123.15,121.22,19.86M,0.66%
08/25/2025,121.81,120.17,123.38,119.9,28.12M,1.11%
08/22/2025,120.46,120.89,121.36,119.82,31.28M,-0.13%
08/21/2025,120.62,121.14,122.14,119.76,20.47M,-0.63%
08/20/2025,121.39,121.8,122.3,119.33,24.34M,-0.02%
08/19/2025,121.42,124.02,124.1,119.28,37.08M,-2.48%
08/18/2025,124.51,123.56,125.12,123.54,21.11M,0.50%
08/15/2025,123.89,123.4,124.69,122.79,27.68M,0.68%
08/14/2025,123.06,120.99,124.41,120.7,39.05M,2.17%
08/13/2025,120.44,123.4,123.71,120.3,27.62M,-1.70%
08/12/2025,122.53,122.5,123.2,120.65,22.83M,0.57%
08/11/2025,121.83,121.4,122.31,120.19,24.56M,0.55%
08/08/2025,121.16,118.32,121.41,118.04,38.17M,2.65%
08/07/2025,118.04,118.18,119.12,116.82,26.28M,0.16%
08/06/2025,117.85,115.35,118.14,115.19,33.62M,2.67%
08/05/2025,114.79,117.1,117.17,114.47,26.61M,-1.97%
08/04/2025,117.1,116.76,117.7,116.26,22.45M,1.07%
08/01/2025,115.86,116.3,117.85,115.29,38.91M,-0.07%
07/31/2025,115.94,118.48,119,115.77,37.13M,-2.09%
07/30/2025,118.42,116.86,118.49,116.61,29.23M,1.32%
07/29/2025,116.87,117.9,117.96,116.33,27.52M,-0.50%
07/28/2025,117.46,118.12,119.78,116.85,34.47M,-0.50%
07/25/2025,118.05,117.84,118.73,117.44,26.29M,-0.02%
07/24/2025,118.08,117.78,118.35,116.27,38.46M,0.34%
07/23/2025,117.68,118.98,119.26,117.36,45.04M,-1.12%
07/22/2025,119.01,123.04,123.24,118.75,50.63M,-3.50%
07/21/2025,123.33,120.6,123.71,119.8,56.28M,1.99%
